FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2024,NOV,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,0.0
2024,NOV,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Heroin,1,0.0
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,0.19
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,0.0
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,0.01
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,11.02
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,0.23
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,5,26.98
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.06
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,3.0
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,3,5.04
2024,NOV,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,0.06
2024,NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,19.84
2024,NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Fentanyl,1,0.17
2024,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.13
2024,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,22.05
2024,NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,57.69
2024,NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,199.17
2024,NOV,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.2
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,176.37
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,1.26
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,14,4984.38
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,0.52
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,7,25.68
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,3.69
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,4.4
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,1851.86
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,5,11344.87
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,2,213.05
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.25
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.13
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,16.01
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,1.04
2024,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.13
2024,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,4.14
2024,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,1.5
2024,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.13
2024,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,42.32
2024,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,0.01
2024,OCT,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,0.08
2024,OCT,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,1,0.35
2024,OCT,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Methamphetamine,1,0.5
2024,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,6,45.02
2024,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,0.0
2024,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.0
2024,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,6,115.85
2024,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,4,3.21
2024,OCT,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,5,2.41
2024,OCT,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,7,41.67
2024,OCT,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,15.43
2024,OCT,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Fentanyl,1,0.31
2024,OCT,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,2,1.2400000000000002
2024,OCT,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Cocaine,1,0.02
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.0
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,11.46
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Heroin,1,2.2
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,3,0.01
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,5,4740.99
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,0.02
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.0
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.0
2024,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.01
2024,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,4.5
2024,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,10,9.85
2024,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,1.49
2024,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.58
2024,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,1,0.22
2024,SEP,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,5,0.15
2024,SEP,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,0.01
2024,SEP,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,5,0.64
2024,SEP,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,1.55
2024,SEP,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,0.82
2024,SEP,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,5,91.76
2024,SEP,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,36.38
2024,SEP,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,2,0.25
2024,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,3,0.77
2024,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,42.44
2024,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.62
2024,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,1.15
2024,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,10.8
2023,APR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,2,2006.19
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,1,2645.52
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,12,9.07
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.35
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,1,0.58
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,12,71.7
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,0.5800000000000001
2023,APR,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,5,66.52
2023,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,3351.0
2023,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,131.72
2023,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,2.5
2023,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,7,66.64
2023,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,7.16
2023,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,80.47
2023,APR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,0.35
2023,APR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,6.32
2023,APR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,7,3.23
2023,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,11.9
2023,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,3,2.23
2023,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,2,0.12
2023,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,4,4.09
2023,APR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,3,32.01
2023,APR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,0.0
2023,APR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,0.44
2023,APR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,0.13
2023,APR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,0.11
2023,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,0.0
2023,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,4,2.11
2023,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,1,3.44
2023,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,2,0.01
2023,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.02
2023,APR,Air and Marine Operations,Southwest Border,Land,San Diego Air And Marine Branch,Marijuana,1,0.0
2023,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,3,14.21
2023,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,6,9.28
2023,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,5,0.3
2023,APR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,3.75
2023,APR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,3,134.88
2023,APR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,1,3838.21
2023,APR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,1,1.0
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,1799.44
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Marijuana,1,0.02
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,4,4625.570000000001
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Heroin,1,0.04
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,0.1
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,1,0.01
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,2,0.17
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,55.12
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,9843.54
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,5324.11
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,6792.86
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,2,2.7
2023,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.99
2023,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,3.53
2023,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,4,7.680000000000001
2023,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,1300.71
2023,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.12
2023,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,2.49
2023,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,3107.84
2023,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,1.34
2023,AUG,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Marijuana,1,0.43
2023,AUG,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,1,0.0
2023,AUG,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,3,0.02
2023,AUG,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,3,1.03
2023,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,0.01
2023,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,11,2.83
2023,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,2,0.3
2023,AUG,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,31.97
2023,AUG,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,1.0
2023,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,2,3.03
2023,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,3,1.2400000000000002
2023,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Fentanyl,1,0.33
2023,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,14.6
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,5,3548.3
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,6,0.3299999999999999
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,0.0699999999999999
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,11,4.76
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,5,0.13
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,1033.96
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,3.04
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,7266.36
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,7529.9
2023,DEC,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,2,1518.02
2023,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,2.56
2023,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,7,23.94
2023,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.7
2023,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,5,8.989999999999998
2023,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,1,0.99
2023,DEC,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,222.66
2023,DEC,Air and Marine Operations,Northern Border,Other,Bellingham Air Branch,Cocaine,2,1111.12
2023,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,6,25.7
2023,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,8.16
2023,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,6.83
2023,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,1.07
2023,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.32
2023,DEC,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,4.41
2023,DEC,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,6,0.53
2023,DEC,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Heroin,1,4.41
2023,DEC,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,1,0.49
2023,DEC,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,3,11.32
2023,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,2,0.26
2023,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.15
2023,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,2,10.34
2023,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.88
2023,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Marijuana,2,1884.99
2023,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Cocaine,1,0.06
2023,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,5,46.74
2023,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,5,84.39
2023,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Heroin,3,2.98
2023,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,292.71000000000004
2023,DEC,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,4.92
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,3,0.24
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,0.03
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,0.13
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,11,1.23
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,6,2.66
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,1470.47
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,6,10077.23
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,5,13068.57
2023,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,1.0
2023,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,0.86
2023,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,7.78
2023,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,2.54
2023,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,4.38
2023,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,1,0.25
2023,FEB,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,1,0.76
2023,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,12,147.54
2023,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,0.02
2023,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.98
2023,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,4,4.15
2023,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.37
2023,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.31
2023,FEB,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,2,7.390000000000001
2023,FEB,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Heroin,1,3.97
2023,FEB,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,2.18
2023,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,2.58
2023,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,12.79
2023,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,48.5
2023,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,4.84
2023,FEB,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,2,936.96
2023,FEB,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,3,7004.01
2023,FEB,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,2,2.05
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,2,4166.7
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,0.03
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,3,246.91000000000005
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,3,0.8700000000000001
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,1.12
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,1,0.07
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,1,1.03
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,2253.1
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,2015.01
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Methamphetamine,1,1.12
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.5
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.2
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.5
2023,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,0.5
2023,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.01
2023,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,6,1.98
2023,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.0
2023,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,2,2.76
2023,JAN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,13.89
2023,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,3,14.43
2023,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,12.79
2023,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,4,2.18
2023,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,12,9.28
2023,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,3,0.5599999999999999
2023,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,12,75.98
2023,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,0.01
2023,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,3,7.36
2023,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,12,139.05
2023,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,2,1.4
2023,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,102.8
2023,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,0.06
2023,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Heroin,1,0.01
2023,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.25
2023,JAN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,1.18
2023,JAN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Marijuana,1,1.13
2023,JAN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,2,4.45
2023,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.0
2023,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,61.86
2023,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Marijuana,6,7.82
2023,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,108.91
2023,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,0.47
2023,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,1.37
