Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2019,,,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2019, through December 31, 2019, and analyzed by March 31, 2020",,,,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,,,
Methodology: Additional details about the NFLIS data may be found in the Questions and Answers document at https://www.nflis.deadiversion.usdoj.gov/DesktopModules/ReportDownloads/Reports/NFLISPublicDataQA.pdf. ,,,,,,,,,,,,,,,,
"Source: U.S. Drug Enforcement Administration, Diversion Control Division, National Forensic Laboratory Information System, 2019. Data generated: July 21, 2020.",,,,,,,,,,,,,,,,
"Suggested Citation: U.S. Drug Enforcement Administration, Diversion Control Division. (2020). Table 3. State counts for fentanyl and fentanyl-related compounds: 2019. Retrieved from the NFLIS Public Resource Library at https://www.nflis.deadiversion.usdoj.gov/Resources/NFLISPublicResourceLibrary.aspx",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
